# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  2.607745200535867E-01  1.001217596247632E+01  8.427505224838376E+04  9.991246033070278E-01  1.458927148335091E-02  9.670249804609883E-02
  2.621496760291355E-01  1.001212079493717E+01  8.418284137354088E+04  9.991337142341385E-01  1.465848714342988E-02  9.769944741143270E-02
  2.635182811471639E-01  1.001206555343086E+01  8.409063560868023E+04  9.991428343388568E-01  1.472725527544313E-02  9.869633139902484E-02
  2.648805819017115E-01  1.001201033125093E+01  8.399842461801921E+04  9.991519548757359E-01  1.479558922583214E-02  9.969325478014518E-02
  2.662366323315212E-01  1.001195500268430E+01  8.390621177086857E+04  9.991610880091438E-01  1.486349346860987E-02  1.006901899786469E-01
  2.675864660679006E-01  1.001189968068524E+01  8.381400070815727E+04  9.991702226122220E-01  1.493097059753226E-02  1.016870899882138E-01
  2.689303231165003E-01  1.001184424118591E+01  8.372178809923369E+04  9.991793707462303E-01  1.499802970261945E-02  1.026839990414543E-01
  2.702681509684027E-01  1.001178874943581E+01  8.362957813928135E+04  9.991885260840623E-01  1.506467256260805E-02  1.036808675962624E-01
  2.716001911296032E-01  1.001173329682747E+01  8.353735975523216E+04  9.991976800518504E-01  1.513091185700377E-02  1.046778086158510E-01
  2.729263571810531E-01  1.001167776893111E+01  8.344514525295113E+04  9.992068433580160E-01  1.519674498834472E-02  1.056746973799112E-01
  2.742468402107756E-01  1.001162225535635E+01  8.335292673962034E+04  9.992160075645335E-01  1.526218232661277E-02  1.066716128120932E-01
  2.755617379834611E-01  1.001156665463336E+01  8.326070339342604E+04  9.992251826193104E-01  1.532723027573086E-02  1.076685705836583E-01
  2.768710362724069E-01  1.001151102734139E+01  8.316848151219658E+04  9.992343623651025E-01  1.539188911688570E-02  1.086654987805681E-01
  2.781748641649559E-01  1.001145533693524E+01  8.307626225548920E+04  9.992435504089394E-01  1.545616311848680E-02  1.096623873937760E-01
  2.794732817895979E-01  1.001139956770577E+01  8.298404503372448E+04  9.992527479540733E-01  1.552005711655944E-02  1.106592435405010E-01
  2.807664649239409E-01  1.001134380813276E+01  8.289182039466554E+04  9.992619471560092E-01  1.558358181012434E-02  1.116561634156605E-01
  2.820544155856613E-01  1.001128799340226E+01  8.279959350307289E+04  9.992711541292401E-01  1.564673868889769E-02  1.126530956840293E-01
  2.833371566019613E-01  1.001123216081950E+01  8.270736756991078E+04  9.992803647570002E-01  1.570952988160433E-02  1.136500030724135E-01
  2.846148129839662E-01  1.001117629225092E+01  8.261513861869233E+04  9.992895812703900E-01  1.577196268455381E-02  1.146469297804781E-01
  2.858874307399590E-01  1.001112037535218E+01  8.252290818591240E+04  9.992988047255975E-01  1.583404049597678E-02  1.156438599809472E-01
  2.871550939601354E-01  1.001106439286803E+01  8.243067828652159E+04  9.993080367438044E-01  1.589576598359331E-02  1.166407730773887E-01
